screen,widget,id,tag_widget,tag_screen,annotator,annotation_id
http://45.33.96.10:9081/etsy-address-1-bbox-4613-screen.jpg,http://45.33.96.10:9081/etsy-address-1-bbox-4613-widget.jpg,460,address,address_edit,leon.yee16@gmail.com,1967
http://45.33.96.10:9081/etsy-address-1-bbox-2963-screen.jpg,http://45.33.96.10:9081/etsy-address-1-bbox-2963-widget.jpg,487,continue,checkout,leon.yee16@gmail.com,1961
http://45.33.96.10:9081/etsy-address-2-bbox-4432-screen.jpg,http://45.33.96.10:9081/etsy-address-2-bbox-4432-widget.jpg,458,,address_edit,leon.yee16@gmail.com,1702
http://45.33.96.10:9081/etsy-address-2-bbox-4697-screen.jpg,http://45.33.96.10:9081/etsy-address-2-bbox-4697-widget.jpg,442,,address_edit,leon.yee16@gmail.com,1689
http://45.33.96.10:9081/etsy-address-2-bbox-0248-screen.jpg,http://45.33.96.10:9081/etsy-address-2-bbox-0248-widget.jpg,428,,sign_in,leon.yee16@gmail.com,1675
http://45.33.96.10:9081/wish-address-1-bbox-2536-screen.jpg,http://45.33.96.10:9081/wish-address-1-bbox-2536-widget.jpg,561,phone,address_edit,leon.yee16@gmail.com,1938
http://45.33.96.10:9081/zappos-address-2-bbox-1362-screen.jpg,http://45.33.96.10:9081/zappos-address-2-bbox-1362-widget.jpg,560,zipcode,address_edit,leon.yee16@gmail.com,1937
http://45.33.96.10:9081/home-address-1-bbox-0900-screen.jpg,http://45.33.96.10:9081/home-address-1-bbox-0900-widget.jpg,559,email,sign_up,leon.yee16@gmail.com,1936
http://45.33.96.10:9081/aliexpress-address-2-bbox-0242-screen.jpg,http://45.33.96.10:9081/aliexpress-address-2-bbox-0242-widget.jpg,558,edit,address_add,leon.yee16@gmail.com,1935
http://45.33.96.10:9081/aliexpress-address-2-bbox-0186-screen.jpg,http://45.33.96.10:9081/aliexpress-address-2-bbox-0186-widget.jpg,557,,setting,leon.yee16@gmail.com,1934
http://45.33.96.10:9081/aliexpress-address-1-bbox-0005-screen.jpg,http://45.33.96.10:9081/aliexpress-address-1-bbox-0005-widget.jpg,556,account,home,leon.yee16@gmail.com,1933
http://45.33.96.10:9081/wish-address-2-bbox-0593-screen.jpg,http://45.33.96.10:9081/wish-address-2-bbox-0593-widget.jpg,555,,menu,leon.yee16@gmail.com,1932
http://45.33.96.10:9081/ebay-address-2-bbox-5017-screen.jpg,http://45.33.96.10:9081/ebay-address-2-bbox-5017-widget.jpg,554,,address_edit,felicitia2010@gmail.com,1969
http://45.33.96.10:9081/etsy-address-2-bbox-2458-screen.jpg,http://45.33.96.10:9081/etsy-address-2-bbox-2458-widget.jpg,553,,cart,leon.yee16@gmail.com,1931
http://45.33.96.10:9081/wish-address-2-bbox-2030-screen.jpg,http://45.33.96.10:9081/wish-address-2-bbox-2030-widget.jpg,552,state,address_edit,leon.yee16@gmail.com,1930
http://45.33.96.10:9081/wish-address-2-bbox-2358-screen.jpg,http://45.33.96.10:9081/wish-address-2-bbox-2358-widget.jpg,551,phone,address_edit,leon.yee16@gmail.com,1929
http://45.33.96.10:9081/wish-address-2-bbox-0500-screen.jpg,http://45.33.96.10:9081/wish-address-2-bbox-0500-widget.jpg,550,menu,home,leon.yee16@gmail.com,1928
http://45.33.96.10:9081/etsy-address-2-bbox-2076-screen.jpg,http://45.33.96.10:9081/etsy-address-2-bbox-2076-widget.jpg,549,number,item_detail,leon.yee16@gmail.com,1927
http://45.33.96.10:9081/wish-address-2-bbox-2696-screen.jpg,http://45.33.96.10:9081/wish-address-2-bbox-2696-widget.jpg,548,save,address_edit,leon.yee16@gmail.com,1926
http://45.33.96.10:9081/ebay-address-2-bbox-5403-screen.jpg,http://45.33.96.10:9081/ebay-address-2-bbox-5403-widget.jpg,547,add,address_edit,leon.yee16@gmail.com,1925
http://45.33.96.10:9081/zappos-address-1-bbox-2078-screen.jpg,http://45.33.96.10:9081/zappos-address-1-bbox-2078-widget.jpg,546,save,address_edit,leon.yee16@gmail.com,1924
http://45.33.96.10:9081/etsy-address-2-bbox-1977-screen.jpg,http://45.33.96.10:9081/etsy-address-2-bbox-1977-widget.jpg,545,,item_detail,leon.yee16@gmail.com,1923
http://45.33.96.10:9081/wish-address-1-bbox-3008-screen.jpg,http://45.33.96.10:9081/wish-address-1-bbox-3008-widget.jpg,544,continue,error,leon.yee16@gmail.com,1922
http://45.33.96.10:9081/etsy-address-2-bbox-2048-screen.jpg,http://45.33.96.10:9081/etsy-address-2-bbox-2048-widget.jpg,543,,item_detail,leon.yee16@gmail.com,1921
http://45.33.96.10:9081/ebay-address-2-bbox-2705-screen.jpg,http://45.33.96.10:9081/ebay-address-2-bbox-2705-widget.jpg,542,buy,item_detail,leon.yee16@gmail.com,1920
http://45.33.96.10:9081/home-address-1-bbox-2618-screen.jpg,http://45.33.96.10:9081/home-address-1-bbox-2618-widget.jpg,541,skip,popup,leon.yee16@gmail.com,1911
http://45.33.96.10:9081/home-address-1-bbox-2180-screen.jpg,http://45.33.96.10:9081/home-address-1-bbox-2180-widget.jpg,540,continue,error,leon.yee16@gmail.com,1909
http://45.33.96.10:9081/etsy-address-1-bbox-3758-screen.jpg,http://45.33.96.10:9081/etsy-address-1-bbox-3758-widget.jpg,539,,checkout,leon.yee16@gmail.com,1908
http://45.33.96.10:9081/aliexpress-address-2-bbox-2476-screen.jpg,http://45.33.96.10:9081/aliexpress-address-2-bbox-2476-widget.jpg,538,city,address_edit,leon.yee16@gmail.com,1865
http://45.33.96.10:9081/wish-address-2-bbox-0962-screen.jpg,http://45.33.96.10:9081/wish-address-2-bbox-0962-widget.jpg,537,street,address_edit,leon.yee16@gmail.com,1864
http://45.33.96.10:9081/etsy-address-2-bbox-1800-screen.jpg,http://45.33.96.10:9081/etsy-address-2-bbox-1800-widget.jpg,536,item_i,items,leon.yee16@gmail.com,1863
http://45.33.96.10:9081/etsy-address-2-bbox-4669-screen.jpg,http://45.33.96.10:9081/etsy-address-2-bbox-4669-widget.jpg,535,,address_edit,leon.yee16@gmail.com,1862
http://45.33.96.10:9081/zappos-address-1-bbox-0975-screen.jpg,http://45.33.96.10:9081/zappos-address-1-bbox-0975-widget.jpg,534,,address_edit,leon.yee16@gmail.com,1861
http://45.33.96.10:9081/home-address-2-bbox-2380-screen.jpg,http://45.33.96.10:9081/home-address-2-bbox-2380-widget.jpg,533,street,address_edit,leon.yee16@gmail.com,1860
http://45.33.96.10:9081/etsy-address-1-bbox-2754-screen.jpg,http://45.33.96.10:9081/etsy-address-1-bbox-2754-widget.jpg,532,,item_detail,leon.yee16@gmail.com,1859
